Lämpötilan keskiarvo [°C],Alin lämpötila [°C],Ylin lämpötila [°C],Tunnin sademäärä [mm],Suhteellisen kosteuden keskiarvo [%],Ilmanpaineen keskiarvo [hPa],Keskituulen nopeus [m/s],Kovin keskituulen nopeus [m/s],Kovin puuska [m/s],Tuulen suunnan keskiarvo [°]
9.2,8.9,9.9,0.0,79,1022.3,1.5,2.0,2.7,213.0
8.8,8.5,9.1,0.0,80,1022.0,1.4,2.2,3.0,242.0
8.2,8.0,8.5,0.0,85,1021.8,0.8,1.6,1.7,285.0
8.4,7.8,9.3,0.0,87,1021.7,1.6,2.4,2.9,86.0
10.2,9.3,11.5,0.0,77,1021.5,1.4,2.0,2.5,90.0
12.9,11.5,14.5,0.0,62,1021.3,0.9,1.3,2.2,73.0
14.8,14.1,16.1,0.0,56,1021.0,1.5,2.1,3.2,103.0
16.8,16.1,17.7,0.0,43,1020.7,2.1,2.9,4.2,114.0
17.4,16.9,17.9,0.0,38,1020.5,2.6,3.1,4.4,109.0
18.4,18.0,18.8,0.0,34,1020.3,3.4,4.2,6.8,113.0
19.4,18.2,20.2,0.0,32,1019.8,3.9,4.8,7.0,108.0
19.3,18.0,20.7,0.0,38,1019.5,4.0,5.1,7.1,112.0
19.1,18.0,20.1,0.0,45,1018.9,3.7,5.1,8.1,107.0
19.3,18.6,20.2,0.0,44,1018.4,4.3,5.3,8.0,104.0
19.7,19.3,20.2,0.0,43,1017.7,5.6,7.2,11.2,105.0
19.8,19.4,20.1,0.0,41,1017.1,5.8,6.8,10.3,99.0
19.0,18.3,20.0,0.0,42,1016.5,6.5,7.6,11.2,101.0
17.6,17.1,18.3,0.0,47,1016.2,6.2,7.6,10.7,99.0
16.8,16.5,17.1,0.0,50,1016.1,5.0,6.2,9.4,96.0
15.9,15.0,16.6,0.0,52,1016.2,5.3,6.3,11.5,100.0
14.9,14.7,15.1,0.0,56,1016.0,4.7,5.3,9.1,105.0
14.6,14.5,14.8,0.0,57,1015.6,3.6,4.4,7.3,97.0
14.4,14.2,14.6,0.0,58,1015.2,3.9,4.3,6.4,89.0
14.3,14.1,14.4,0.0,58,1014.8,3.6,3.8,6.1,80.0
14.2,13.4,14.8,0.0,58,1014.3,2.7,4.2,5.4,104.0
14.3,13.5,14.7,0.0,57,1013.6,3.5,4.0,5.4,92.0
13.5,13.3,13.9,0.0,62,1013.0,3.7,4.4,6.9,88.0
13.8,13.6,13.9,0.0,61,1012.5,4.0,4.6,7.1,97.0
13.5,13.3,13.8,0.0,63,1012.0,4.2,4.7,6.9,99.0
13.8,13.4,14.0,0.0,61,1011.6,4.9,5.5,8.0,107.0
13.2,13.0,13.4,0.0,64,1011.8,4.7,5.7,8.3,111.0
12.8,12.5,13.1,0.0,70,1011.9,3.4,4.6,7.6,107.0
12.4,12.1,12.8,0.2,80,1011.8,3.2,3.6,5.1,83.0
11.9,11.2,12.7,1.1,88,1011.8,3.4,4.2,7.1,112.0
