Päivämäärä	Viim.	Avoin	Korkea	Matala	Vol.	Muut.%
15.05.2024	10.316,96	10.391,52	10.404,95	10.302,40	57,26M	-0.43%
14.05.2024	10.361,32	10.315,66	10.424,18	10.308,34	63,23M	+0.51%
13.05.2024	10.308,32	10.285,33	10.308,68	10.252,30	39,81M	+0.45%
10.05.2024	10.262,37	10.197,84	10.295,29	10.197,84	50,86M	+1.50%
08.05.2024	10.110,53	10.122,73	10.165,13	10.071,96	43,32M	-0.07%
07.05.2024	10.117,53	10.106,58	10.120,20	10.059,44	44,34M	+0.44%
06.05.2024	10.073,69	9.985,77	10.076,39	9.970,34	32,35M	+1.01%
03.05.2024	9.972,64	9.943,25	10.034,59	9.943,25	37,76M	+0.56%
02.05.2024	9.916,90	9.870,05	9.929,40	9.826,52	47,01M	+0.81%
30.04.2024	9.837,14	9.891,75	9.923,62	9.837,14	50,11M	-0.53%
29.04.2024	9.889,95	9.853,62	9.903,36	9.853,62	46,78M	+0.46%
26.04.2024	9.844,49	9.772,68	9.905,40	9.770,88	48,00M	+1.18%
25.04.2024	9.729,46	9.942,46	9.942,46	9.705,01	64,55M	-2.00%
24.04.2024	9.927,88	10.014,17	10.020,65	9.919,70	49,27M	-0.56%
23.04.2024	9.983,61	9.969,61	9.983,61	9.937,83	54,23M	+0.39%
22.04.2024	9.944,97	9.874,05	9.958,67	9.865,60	49,36M	+1.03%
19.04.2024	9.843,44	9.734,85	9.844,10	9.721,97	52,07M	+0.77%
18.04.2024	9.768,69	9.751,45	9.773,97	9.692,84	64,96M	+0.37%
17.04.2024	9.733,03	9.767,30	9.815,91	9.724,99	47,61M	-0.09%
16.04.2024	9.742,18	9.781,00	9.793,05	9.702,11	58,74M	-0.97%
15.04.2024	9.837,99	9.925,84	9.966,82	9.836,85	43,97M	-0.66%
12.04.2024	9.903,41	9.976,85	10.016,08	9.899,85	44,94M	-0.24%
11.04.2024	9.927,65	9.968,51	9.983,62	9.899,82	52,01M	-0.25%
10.04.2024	9.952,48	10.026,60	10.092,06	9.916,33	59,37M	+0.04%
09.04.2024	9.948,04	9.935,72	10.021,19	9.920,91	47,80M	+0.04%
08.04.2024	9.944,15	9.905,92	9.954,65	9.872,14	46,69M	+0.51%
