"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Suhteellisen kosteuden keskiarvo [%]","Keskituulen nopeus [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]"
"Helsinki Kumpula","2023","5","15","00:00","9.2","79","1.5","0","1022.3","9.9","8.9","2","213","2.7"
"Helsinki Kumpula","2023","5","15","01:00","8.8","80","1.4","0","1022","9.1","8.5","2.2","242","3"
"Helsinki Kumpula","2023","5","15","02:00","8.2","85","0.8","0","1021.8","8.5","8","1.6","285","1.7"
"Helsinki Kumpula","2023","5","15","03:00","8.4","87","1.6","0","1021.7","9.3","7.8","2.4","86","2.9"
"Helsinki Kumpula","2023","5","15","04:00","10.2","77","1.4","0","1021.5","11.5","9.3","2","90","2.5"
"Helsinki Kumpula","2023","5","15","05:00","12.9","62","0.9","0","1021.3","14.5","11.5","1.3","73","2.2"
"Helsinki Kumpula","2023","5","15","06:00","14.8","56","1.5","0","1021","16.1","14.1","2.1","103","3.2"
"Helsinki Kumpula","2023","5","15","07:00","16.8","43","2.1","0","1020.7","17.7","16.1","2.9","114","4.2"
"Helsinki Kumpula","2023","5","15","08:00","17.4","38","2.6","0","1020.5","17.9","16.9","3.1","109","4.4"
"Helsinki Kumpula","2023","5","15","09:00","18.4","34","3.4","0","1020.3","18.8","18","4.2","113","6.8"
"Helsinki Kumpula","2023","5","15","10:00","19.4","32","3.9","0","1019.8","20.2","18.2","4.8","108","7"
"Helsinki Kumpula","2023","5","15","11:00","19.3","38","4","0","1019.5","20.7","18","5.1","112","7.1"
"Helsinki Kumpula","2023","5","15","12:00","19.1","45","3.7","0","1018.9","20.1","18","5.1","107","8.1"
"Helsinki Kumpula","2023","5","15","13:00","19.3","44","4.3","0","1018.4","20.2","18.6","5.3","104","8"
