Lämpötila Helsingissä,Sähkönkulutus Suomessa,Tuulivoimatuotanto,Ydinvoimatuotanto,Vesivoimatuotanto,Sähköntuotanto Suomessa,"Sähköntuotanto, yli/alijäämä"
-7.45429,10439.0,1601.0,4364.8,1375.5,10505.0,374.19999
-7.45429,10429.0,1531.0,4362.69999,1405.7,10445.0,244.69999
-8.08629,10384.0,1536.0,4362.19999,1425.7,10474.0,317.89999
-8.08629,10369.0,1581.0,4365.0,1437.3,10525.0,355.1
-8.08629,10408.0,1565.0,4360.8,1429.2,10496.0,283.89999
-8.08629,10378.0,1551.09999,4363.3,1410.0,10449.0,271.8
-8.08629,10387.0,1531.0,4364.8,1405.3,10414.0,233.09999
-8.08629,10380.0,1518.0,4364.0,1410.3,10395.0,221.5
-8.08629,10402.0,1499.0,4363.3,1417.3,10375.0,190.5
-8.08629,10355.0,1493.0,4363.8,1412.2,10383.0,235.3
-8.08629,10376.0,1484.0,4363.69999,1398.8,10386.0,191.3
-8.08629,10349.0,1478.5,4361.5,1394.7,10366.0,223.5
-8.08629,10397.0,1472.5,4368.19999,1376.3,10355.0,174.3
-8.08629,10383.0,1475.0,4365.69999,1383.0,10369.0,197.5
-8.08629,10342.0,1464.0,4365.3,1377.3,10355.0,230.0
-8.76929,10342.0,1478.0,4361.5,1377.8,10359.0,226.59999
-8.76929,10345.0,1471.0,4367.3,1376.3,10351.0,219.4
-8.76929,10328.0,1480.0,4365.0,1366.2,10328.0,206.5
-8.76929,10337.0,1466.0,4362.19999,1359.3,10320.0,191.5
-8.76929,10349.0,1462.09999,4362.5,1352.2,10323.0,186.0
-8.76929,10332.0,1453.0,4361.69999,1353.8,10314.0,189.4
-8.76929,10336.0,1453.0,4362.69999,1388.2,10327.0,198.8
-8.76929,10286.0,1451.0,4363.19999,1350.0,10270.0,185.3
-8.76929,10269.0,1451.0,4362.69999,1339.9,10278.0,199.4
-8.76929,10295.0,1459.0,4364.8,1338.5,10298.0,210.3
-8.76929,10273.0,1474.0,4363.3,1331.2,10302.0,234.4
-8.76929,10270.0,1473.0,4365.69999,1332.5,10313.0,242.8
-8.76929,10280.0,1473.0,4362.19999,1323.7,10284.0,208.0
-8.76929,10299.0,1465.5,4364.0,1328.3,10281.0,195.9
-8.76929,10308.0,1450.0,4362.5,1330.5,10276.0,189.69999
-8.76929,10283.0,1450.0,4364.19999,1321.2,10278.0,204.09999
-8.76929,10285.0,1442.0,4365.0,1317.2,10261.0,181.3
-8.76929,10288.0,1439.0,4365.19999,1313.7,10245.0,165.3
-8.76929,10300.0,1442.5,4362.0,1311.3,10257.0,155.4
-8.76929,10293.0,1432.5,4362.5,1315.8,10229.0,134.69999
-8.76929,10274.0,1427.0,4361.3,1312.7,10209.0,145.59999
-8.755,10246.0,1415.0,4362.8,1310.8,10202.0,146.8
-8.2545,10257.0,1421.0,4367.0,1310.5,10216.0,169.4
-8.2545,10270.0,1414.0,4364.19999,1312.2,10219.0,160.4
-8.2545,10233.0,1414.0,4362.5,1311.3,10234.0,207.9
-8.2545,10257.0,1418.0,4362.8,1308.7,10243.0,160.5
-8.2545,10272.0,1428.0,4361.19999,1330.7,10279.0,237.8
-8.2545,10279.0,1439.0,4363.19999,1330.2,10285.0,245.3
-8.2545,10258.0,1437.0,4362.5,1322.7,10268.0,243.09999
-8.2545,10274.0,1441.0,4362.19999,1316.8,10261.0,214.5
-8.2545,10288.0,1447.0,4365.8,1302.7,10266.0,207.4
-8.2545,10248.0,1443.0,4364.0,1286.4,10253.0,232.4
-8.0579,10246.0,1432.0,4364.5,1283.2,10230.0,214.09999
-7.7041,10241.0,1427.0,4364.3,1276.2,10232.0,225.5
-7.7041,10239.0,1434.0,4366.0,1281.5,10240.0,233.09999
-7.7041,10215.0,1424.0,4364.8,1280.3,10232.0,253.0
-7.7041,10235.0,1423.0,4363.8,1302.7,10254.0,257.5
-7.7041,10217.0,1423.0,4364.8,1316.5,10259.0,271.89999
-7.52569,10233.0,1431.0,4363.19999,1321.5,10266.0,276.8
-7.52569,10180.0,1440.0,4365.5,1311.3,10261.0,295.5
-7.52569,10208.0,1445.9,4363.5,1312.0,10267.0,286.19999
-7.52569,10225.0,1448.0,4364.0,1311.2,10272.0,273.89999
-7.52569,10239.0,1460.0,4363.3,1305.0,10274.0,247.8
-7.52569,10232.0,1460.0,4360.69999,1301.8,10263.0,259.19999
-7.52569,10207.0,1460.0,4366.3,1290.2,10257.0,272.8
-7.52569,10240.0,1450.0,4362.3,1294.7,10269.0,274.1
-7.52569,10309.0,1451.0,4363.19999,1308.2,10304.0,228.19999
-7.52569,10268.0,1459.5,4362.3,1325.5,10302.0,276.8
-7.52569,10264.0,1450.0,4362.3,1339.0,10307.0,275.5
-7.52569,10258.0,1448.0,4362.69999,1333.2,10292.0,281.89999
-7.52569,10295.0,1443.5,4364.0,1335.3,10294.0,251.09999
-7.52569,10295.0,1445.0,4363.8,1332.8,10303.0,256.5
-7.52569,10302.0,1445.0,4361.19999,1340.7,10316.0,246.4
-7.52569,10338.0,1436.0,4363.19999,1335.2,10324.0,230.0
-7.52569,10315.0,1442.0,4362.0,1336.7,10336.0,252.3
-7.52569,10304.0,1431.0,4365.8,1359.3,10364.0,294.1
-7.52569,10287.0,1419.0,4363.8,1375.0,10328.0,277.69999
-7.52569,10304.0,1418.0,4362.3,1374.5,10334.0,259.69999
-7.52569,10353.0,1405.0,4362.8,1369.7,10354.0,241.8
-7.52569,10353.0,1405.0,4364.19999,1364.2,10341.0,230.3
-7.52569,10347.0,1389.0,4363.19999,1371.8,10319.0,199.59999
-7.52569,10322.0,1380.0,4362.8,1366.2,10276.0,175.5
-7.52569,10327.0,1380.0,4363.69999,1369.2,10277.0,189.19999
-7.52569,10340.0,1369.0,4363.3,1383.3,10287.0,184.0
-7.52569,10384.0,1359.0,4362.5,1401.5,10313.0,176.3
-7.52569,10393.0,1350.0,4363.0,1415.5,10316.0,264.1
-7.52569,10462.0,1347.0,4364.19999,1404.8,10303.0,274.5
-7.52569,10479.0,1328.5,4364.69999,1398.0,10292.0,343.69999
-7.52569,10470.0,1334.0,4363.19999,1391.0,10285.0,401.39999
-7.52569,10489.0,1330.5,4365.0,1402.2,10298.0,383.89999
-7.52569,10473.0,1327.0,4363.0,1382.0,10261.0,344.19999
-7.52569,10515.0,1330.0,4364.0,1380.7,10267.0,315.5
-7.52569,10494.0,1326.0,4365.0,1376.0,10272.0,368.0
-7.52569,10524.0,1345.0,4364.0,1375.8,10313.0,372.89999
-7.33249,10515.0,1345.0,4365.5,1371.0,10325.0,389.5
-6.9854,10544.0,1364.0,4364.0,1380.0,10340.0,367.89999
-6.9854,10524.0,1376.0,4363.0,1373.2,10328.0,378.1
-6.9854,10557.0,1374.0,4362.69999,1379.3,10342.0,372.19999
-6.9854,10562.0,1382.0,4364.19999,1400.8,10359.0,372.0
-6.9854,10555.0,1392.0,4363.8,1398.5,10353.0,369.5
-6.9854,10571.0,1400.0,4364.3,1403.0,10364.0,361.3
-6.9854,10594.0,1410.0,4361.3,1401.5,10367.0,347.8
-6.9854,10587.0,1407.0,4363.0,1404.8,10372.0,364.69999
-6.9854,10590.0,1416.0,4363.69999,1405.3,10400.0,385.8
-6.9854,10616.0,1412.0,4361.8,1409.2,10394.0,354.5
-6.9854,10583.0,1402.0,4366.19999,1399.3,10384.0,476.39999
-6.9854,10494.0,1406.0,4359.19999,1374.0,10360.0,427.69999
-6.9854,10518.0,1405.0,4362.3,1478.8,10475.0,449.19999
-6.9854,10511.0,1406.5,4362.3,1526.2,10540.0,487.1
-6.9854,10585.0,1404.5,4364.69999,1543.3,10562.0,410.19999
-6.9854,10556.0,1396.5,4363.8,1555.2,10556.0,453.6
-6.9854,10581.0,1393.0,4364.5,1545.8,10565.0,437.19999
-6.9854,10630.0,1393.59999,4365.69999,1561.5,10587.0,448.8
-6.9854,10605.0,1390.0,4364.0,1563.2,10571.0,413.8
-6.9854,10646.0,1390.0,4365.19999,1583.0,10582.0,375.5
-6.9854,10687.0,1397.0,4365.5,1595.2,10568.0,331.89999
-6.9854,10746.0,1392.0,4365.8,1604.0,10577.0,311.6
-6.9854,10723.0,1393.0,4364.3,1607.0,10599.0,336.8
-6.9854,10784.0,1389.0,4363.69999,1617.7,10606.0,295.1
-6.9854,10798.0,1389.0,4365.69999,1615.5,10604.0,253.69999
-6.9854,10789.0,1371.0,4364.0,1595.7,10571.0,247.3
-6.9854,10790.0,1361.0,4361.5,1590.3,10552.0,228.69999
-6.9854,10832.0,1352.0,4363.0,1563.2,10525.0,171.59999
-6.9854,10830.0,1352.0,4364.3,1570.5,10555.0,190.4
-6.9854,10881.0,1355.0,4364.5,1605.3,10610.0,203.5
-6.9854,10870.0,1334.0,4364.19999,1648.2,10627.0,233.69999
-6.9854,10864.0,1321.0,4362.8,1726.0,10667.0,199.09999
-6.9854,10871.0,1307.0,4359.0,1751.0,10681.0,202.4
-6.9854,10890.0,1296.0,4361.0,1793.3,10700.0,200.5
-6.9854,10936.0,1293.0,4362.19999,1803.2,10707.0,135.5
-6.9854,10910.0,1285.0,4364.0,1754.2,10657.0,119.09999
