Viim.,Avoin,Korkea,Matala,Vol.
9040.3,8713.75,9131.66,8713.75,90870000
8871.51,9040.3,9040.31,8615.46,88490000
8545.12,8871.51,8955.55,8545.12,91380000
8411.32,8545.12,8545.12,8342.54,61220000
7902.69,8411.32,8414.29,7831.33,81610000
8091.81,7902.69,8244.02,7702.58,111500000
8054.18,8091.81,8299.67,7666.59,115580000
8706.25,8054.18,8715.52,7885.59,132760000
8575.2,8706.25,8805.03,8410.46,117760000
8768.89,8575.2,8799.56,8561.85,64930000
9049.12,8768.89,9049.28,8768.89,78660000
8673.0,9049.12,9049.12,8432.9,85870000
8268.21,8673.0,8673.71,8145.53,81270000
8741.73,8268.21,8770.94,8268.21,74980000
9111.17,8741.73,9136.97,8741.73,76350000
8868.1,9111.17,9182.38,8814.26,79440000
8752.45,8868.1,9093.8,8687.82,66560000
8368.67,8752.45,8752.45,8281.86,79430000
8342.77,8368.67,8534.03,8297.78,54360000
8323.41,8342.77,8415.62,8081.43,63110000
7917.48,8323.41,8323.41,7875.3,78070000
7851.55,7917.48,7917.48,7571.88,86520000
8267.23,7851.55,8328.3,7835.94,83950000
8159.89,8267.23,8389.01,8014.06,62220000
8210.3,8159.89,8281.82,7848.74,48630000
8628.49,8210.3,8669.27,8207.18,91110000
8951.2,8628.49,9028.83,8460.07,101120000
8671.35,8951.2,8951.24,8363.09,74250000
9510.07,8671.35,9555.42,8671.27,132720000
9724.06,9510.07,9936.86,9342.22,139820000
9897.06,9724.06,10096.11,9444.27,153910000
9790.58,9897.06,9910.48,9619.94,65530000
9757.68,9790.58,9859.76,9567.51,68400000
9660.11,9757.68,9781.98,9557.64,66460000
9795.8,9660.11,9924.7,9623.34,98370000
10224.04,9795.8,10280.96,9777.69,94550000
10663.12,10224.04,10949.23,10224.04,68190000
10704.85,10663.1,11051.2,10568.8,92290000
10432.71,10704.8,10751.3,10320.2,79370000
10492.6,10432.7,10604.1,10241.0,77650000
10568.32,10492.6,10728.0,10492.6,46810000
10441.29,10568.3,10653.7,10392.6,67760000
10285.66,10441.3,10539.6,10176.7,70580000
10673.91,10285.7,10748.2,10238.8,89380000
10453.54,10673.9,10673.9,10416.0,57920000
10195.91,10453.5,10453.8,10190.6,52280000
10251.49,10195.9,10325.5,10094.3,51290000
10204.04,10251.5,10313.0,10048.4,68430000
10725.44,10204.0,10755.0,10204.0,105750000
10972.44,10725.4,10977.1,10615.5,74830000
11029.46,10972.4,11043.0,10857.7,61370000
11165.29,11029.5,11343.2,11029.5,116840000
10904.2,11165.3,11168.4,10882.2,75300000
10669.17,10904.2,10905.4,10653.7,62150000
10642.94,10669.2,10735.5,10616.4,29140000
10488.64,10642.9,10754.0,10450.7,65840000
10101.44,10488.6,10488.7,10064.0,62180000
10081.43,10101.4,10114.1,9936.07,75040000
10079.9,10081.4,10264.7,9889.28,77100000
10118.98,10079.9,10119.0,9989.23,16520000
10435.47,10119.0,10443.6,10119.0,60210000
10481.09,10435.5,10601.1,10435.4,57740000
10442.71,10481.1,10481.1,10217.8,61900000
10403.26,10442.7,10632.4,10348.0,133570000
10115.2,10403.3,10403.8,10075.8,39640000
8497.68,10115.2,10115.2,8462.59,180400000
8771.27,8497.68,8785.21,8497.68,141360000
8316.21,8771.27,8771.46,8251.71,157580000
8223.14,8316.21,8316.24,7902.64,113370000
8237.05,8223.14,8357.37,8144.22,52940000
8406.01,8237.05,8492.1,8237.05,79650000
8224.6,8406.01,8406.1,8019.94,65310000
8348.23,8224.6,8382.23,8224.6,54030000
8322.87,8348.23,8468.41,8254.61,57430000
8162.84,8322.87,8325.89,7950.59,71100000
8143.4,8162.84,8316.18,8092.5,59350000
8144.17,8143.4,8202.51,7887.58,73830000
8398.53,8144.17,8401.56,8126.99,72980000
8511.72,8398.53,8521.85,8215.77,46510000
8395.01,8511.72,8511.72,8342.21,43120000
8236.41,8395.01,8395.78,8130.28,27640000
7995.92,8236.41,8236.41,7896.77,64150000
7647.46,7995.92,7995.96,7571.73,70190000
7469.08,7647.46,7647.46,7184.96,68120000
7398.07,7469.08,7572.01,7378.98,55640000
7162.19,7398.07,7413.06,7076.35,70700000
7397.68,7162.19,7732.58,7162.19,88670000
7300.87,7397.68,7512.56,7169.98,64610000
7140.5,7300.87,7352.62,7134.67,41200000
6973.76,7140.5,7141.54,6910.44,63490000
6971.74,6973.76,7049.73,6895.17,61600000
7550.6,6971.74,7570.05,6884.25,135670000
7335.58,7550.6,7551.26,7217.77,65180000
7347.53,7335.58,7525.91,7221.29,39060000
7349.93,7347.53,7405.79,7216.49,46360000
