"Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri","Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto)","Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto)",Tapausten lukumäärä,Testausmäärä
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,7.0,415.0
1.0,0.0,0.0,51.0,477.0
3.0,0.0,0.0,351.0,3156.0
11.0,1.0,0.0,571.0,8189.0
36.0,11.0,0.0,684.0,10147.0
43.0,30.0,1.0,1044.0,13606.0
65.0,39.0,3.0,841.0,15125.0
69.0,59.0,6.0,817.0,17832.0
25.0,46.0,6.0,717.0,23832.0
22.0,37.0,9.0,635.0,20691.0
17.0,30.0,7.0,575.0,21570.0
9.0,16.0,4.0,349.0,24437.0
3.0,10.0,2.0,222.0,19751.0
1.0,6.0,3.0,136.0,17321.0
0.0,5.0,1.0,92.0,15700.0
0.0,2.0,1.0,60.0,15653.0
2.0,2.0,0.0,40.0,12268.0
2.0,1.0,0.0,65.0,14051.0
0.0,1.0,0.0,38.0,18817.0
0.0,0.0,0.0,36.0,26943.0
1.0,0.0,0.0,49.0,30425.0
0.0,1.0,0.0,56.0,30181.0
3.0,2.0,0.0,107.0,36488.0
0.0,2.0,0.0,150.0,50796.0
1.0,0.0,1.0,187.0,76194.0
0.0,1.0,0.0,182.0,102209.0
1.0,0.0,0.0,186.0,106764.0
3.0,0.0,0.0,232.0,96634.0
6.0,0.0,1.0,369.0,81621.0
1.0,2.0,1.0,532.0,97328.0
4.0,3.0,0.0,724.0,93922.0
4.0,3.0,0.0,1297.0,85193.0
6.0,3.0,0.0,1592.0,105455.0
6.0,2.0,1.0,1262.0,97815.0
3.0,3.0,0.0,1260.0,98567.0
2.0,6.0,1.0,1487.0,86882.0
14.0,4.0,0.0,1402.0,91185.0
17.0,8.0,0.0,1772.0,92476.0
32.0,15.0,3.0,2712.0,106329.0
